name,route_url,crag_param_id,crag_name,sector_name,sector_url,sector_lat,sector_lon,sector_maps_url,id,genre,grade_int,project,param_id,crimpers,slopers,jugs,crack,pockets,tufas,fingery,powerful,dyno,endurance,technical,mental,roof,overhang,vertical,slab,traverse,sitstart,topslasthold,tradgear_required,dangerous,ascents_done_count,rating,page_grade_label,page_grade_int,page_ascents,page_rating,page_name
,https://thetopo.com/crags/orhem/routes/jetta,orhem,,Sjöväggarna,https://thetopo.com/crags/orhem/topos/sjovaggarna,59.244293,18.16083,"https://www.google.com/maps?q=59.244293,18.16083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A,400,0,0.0,Jetta
,https://thetopo.com/crags/orhem/routes/trauma,orhem,,Ormväggen,https://thetopo.com/crags/orhem/topos/ormvaggen,59.241131,18.152826,"https://www.google.com/maps?q=59.241131,18.152826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7C,900,3,1.5,Trauma
,https://thetopo.com/crags/orhem/routes/bad-karma-jump-start,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6B,500,95,1.2,Bad karma (Jump start)
,https://thetopo.com/crags/orhem/routes/johnas-klattertrad,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A,400,279,1.4434,Jonnas klätterträd
,https://thetopo.com/crags/orhem/routes/if-you-need-crack,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,297,1.5,If you need crack
,https://thetopo.com/crags/orhem/routes/magic-number,orhem,,Ormväggen,https://thetopo.com/crags/orhem/topos/ormvaggen,59.241131,18.152826,"https://www.google.com/maps?q=59.241131,18.152826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100,0,0.0,Magic number
,https://thetopo.com/crags/orhem/routes/stayalive,orhem,,Ormväggen,https://thetopo.com/crags/orhem/topos/ormvaggen,59.241131,18.152826,"https://www.google.com/maps?q=59.241131,18.152826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7B,800,0,0.0,StayAlive
,https://thetopo.com/crags/orhem/routes/monkey-33038,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5+,380,249,1.4255,Monkey
,https://thetopo.com/crags/orhem/routes/hangover-of-rolf,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,236,1.52381,Hangover of Rolf
,https://thetopo.com/crags/orhem/routes/pillar,orhem,,Christers vägg(ar),https://thetopo.com/crags/orhem/topos/christers-vagg,59.245741,18.149822,"https://www.google.com/maps?q=59.245741,18.149822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300,193,1.5,Pillar
